Category,Item,Attribute,Value
tyres,leftfront,pressure,
tyres,leftfront,condition,
tyres,rightfront,pressure,
tyres,rightfront,condition,
tyres,leftback,pressure,
tyres,leftback,condition,
tyres,rightback,pressure,
tyres,rightback,condition,
battery,battery,condition,
engine,engine,condition,
brakes,front,condition,
frontbrakes,front,fluid,
backbrakes,back,condition,
backbrakes,back,fluid,
exterior,exterior,condition,
